0,1
결식아동,2
"결식아동, 소방공무원",3
"결식아동, 소방공무원, 소방공무원은  무엇이죠?",4
"결식아동, 소방공무원, 결식아동 본인 식사류 무료, 소방관,군인,경찰 동반 3인까지 전메뉴 20프로할인",5
"결식아동, 독거노인",6
