"결식아동, 소방공무원",1
"결식아동, 미혼모? 한부모가정?, 조부모가정? 생활보호대상자",2
결식아동,3
0,4
"결식아동, 소방공무원, 경찰공무원",5
"결식아동, 소방공무원 전제품 50프로 할인",6
"결식아동, 소방공무원, 소방공무원 30% 할인",7
"결식아동, 소방공무원, 소방공무원은  무엇이죠?",8
"결식아동, 소방공무원, 결식아동 본인 식사류 무료, 소방관,군인,경찰 동반 3인까지 전메뉴 20프로할인",9
"결식아동, 독거노인",10
